age,exp,w
50,20,1000
37,13,3570
32,7,1870
49,14,1900
49,11,1920
45,24,3000
49,29,1950
24,3,3100
46,22,4000
47,24,2200
48,26,3500
55,31,3500
33,9,4500
38,16,3800
55,40,3250
51,16,1900
50,32,3000
47,25,2000
62,42,2500
42,17,3000
44,24,1160
58,35,2800
50,24,2100
47,24,1500
50,32,3300
25,4,3800
39,19,2500
36,6,1630
53,10,2000
63,41,2700
46,8,2200
42,3,2200
43,27,3550
40,21,2400
29,9,1900
31,6,2400
47,18,3000
23,2,3000
21,0,1920
40,15,2400
49,19,2100
41,16,2100
44,25,2500
28,7,5500
25,6,2500
41,15,0
23,2,1830
22,1,850
51,36,3500
39,17,3000
33,16,2600
56,35,1400
26,7,1800
54,34,3200
51,22,2850
50,30,2950
50,31,3000
29,9,3500
27,2,2200
28,9,3500
67,45,3500
71,49,3000
45,10,2600
61,42,3800
45,21,3800
51,25,2600
51,34,2700
51,25,4000
27,3,2000
29,6,5000
25,6,3500
60,45,2200
38,12,2000
38,15,1900
63,44,3500
61,43,1900
62,44,3000
58,38,2200
60,38,2800
33,10,2130
59,41,2500
48,33,1950
48,22,4000
47,28,600
31,2,2400
44,23,5000
41,21,3000
27,3,3600
57,39,4000
71,50,4500
57,30,2600
40,10,1300
49,23,3000
61,44,2200
56,20,2000
50,10,1650
56,35,1700
33,10,2800
31,6,2500
35,11,2500
35,11,2800
37,15,3000
43,20,4000
47,22,2100
60,39,2300
33,9,2900
33,9,2300
28,4,2100
39,13,3600
39,13,2220
61,35,3300
