FC_ID,ID,Target_Month,Create_Month,Model,StatFC,Actual,JudgmFC,Stat_IND,Man_IND,StatMan_IND,Product_Group,Price_Index,Launch_Date,Launch_Month,Launch_Year,Create_CalMonth,Create_Year,Target_CalMonth,Target_Year,Lead_Time,Product_Age,APE_Stat,APE_Judgm,APE_Stat_Shift,APE_Judgm_shift,APE_STAT_LOG,APE_Judgm_LOG,target_year_shift
128,10008,201711,201710,SHORT ShiftLevel,1275,3003,723,1,1,11,3,46,201612,12,2016,10,2017,11,2017,1,11,57.5,75.9,57.5,75.9,4.0525230674,4.32973384,8
160,10009,201503,201502,SHORT ShiftLevel,1190,1784,1232,1,1,11,3,234,201407,7,2014,2,2015,3,2015,1,8,33.3,30.9,33.3,30.9,3.5054361922,3.4321049191,6
161,10009,201504,201409,SHORT ShiftLevel,1565,1375,1384,1,1,11,3,234,201407,7,2014,9,2014,4,2015,7,9,13.8,0.7,13.8,0.7,2.625985248,-0.423814247,6
168,10009,201505,201409,SHORT ShiftLevel,1249,1512,967,1,1,11,3,234,201407,7,2014,9,2014,5,2015,8,10,17.4,36.0,17.4,36.0,2.8561356614,3.5847674239,6
180,10009,201506,201501,SHORT ShiftLevel,945,711,913,1,1,11,3,234,201407,7,2014,1,2015,6,2015,5,11,32.9,28.4,32.9,28.4,3.4938188715,3.3467654536,6
199,10009,201509,201502,SHORT ShiftLevel,713,921,754,1,1,11,3,234,201407,7,2014,2,2015,9,2015,7,14,22.6,18.1,22.6,18.1,3.1172482294,2.8977039621,6
208,10009,201510,201504,SHORT ShiftLevel,767,773,800,1,1,11,3,234,201407,7,2014,4,2015,10,2015,6,15,0.8,3.5,0.8,3.5,-0.253349393,1.2507280034,6
220,10009,201511,201509,SHORT ShiftLevel,1117,868,932,1,1,11,3,234,201407,7,2014,9,2015,11,2015,2,16,28.7,7.4,28.7,7.4,3.3564313678,1.9978615547,6
229,10009,201512,201509,SHORT ShiftLevel,919,521,751,1,1,11,3,234,201407,7,2014,9,2015,12,2015,3,17,76.4,44.1,76.4,44.1,4.3358721495,3.7874994532,6
230,10009,201512,201510,SHORT ShiftLevel,924,521,748,1,1,11,3,234,201407,7,2014,10,2015,12,2015,2,17,77.4,43.6,77.4,43.6,4.3483567062,3.7743701617,6
263,10016,201201,201109,LONG Pure,27,65,24,1,1,11,8,398,198707,7,1987,9,2011,1,2012,4,120,58.5,63.1,58.5,63.1,4.0683690758,4.1443549828,3
323,10020,201209,201205,SHORT ShiftLevel,100,3551,905,1,1,11,3,93,201205,5,2012,5,2012,9,2012,4,4,97.2,74.5,97.2,74.5,4.5766049761,4.3109899977,3
337,10020,201211,201210,SHORT ShiftLevel,2510,3452,3465,1,1,11,3,93,201205,5,2012,10,2012,11,2012,1,6,27.3,0.4,27.3,0.4,3.3064664084,-0.976589509,3
341,10020,201212,201208,SHORT ShiftLevel,2674,4256,3327,1,1,11,3,93,201205,5,2012,8,2012,12,2012,4,7,37.2,21.8,37.2,21.8,3.6155303033,3.0831938938,3
346,10020,201301,201206,SHORT ShiftLevel,1777,5801,3408,1,1,11,3,93,201205,5,2012,6,2012,1,2013,7,8,69.4,41.3,69.4,41.3,4.2394163023,3.7196876784,4
356,10020,201302,201208,SHORT ShiftLevel,3460,4452,4087,1,1,11,3,93,201205,5,2012,8,2012,2,2013,6,9,22.3,8.2,22.3,8.2,3.1037845809,2.1039588272,4
368,10020,201303,201211,SHORT ShiftLevel,4781,7058,4581,1,1,11,3,93,201205,5,2012,11,2012,3,2013,4,10,32.3,35.1,32.3,35.1,3.4738672478,3.5580566112,4
371,10020,201303,201302,SHORT ShiftLevel,5273,7058,5458,1,1,11,3,93,201205,5,2012,2,2013,3,2013,1,10,25.3,22.7,25.3,22.7,3.230426876,3.12101209,4
397,10020,201306,201207,SHORT ShiftLevel,3361,4504,3202,1,1,11,3,93,201205,5,2012,7,2012,6,2013,11,13,25.4,28.9,25.4,28.9,3.23386068,3.3641058389,4
414,10020,201308,201303,SHORT ShiftLevel,3781,3456,3658,1,1,11,3,93,201205,5,2012,3,2013,8,2013,5,15,9.4,5.8,9.4,5.8,2.2411282384,1.7655707535,4
428,10020,201310,201304,SHORT ShiftLevel,3380,4210,3561,1,1,11,3,93,201205,5,2012,4,2013,10,2013,6,17,19.7,15.4,19.7,15.4,2.9813779601,2.735384976,4
434,10020,201311,201302,SHORT ShiftLevel,3318,4420,3604,1,1,11,3,93,201205,5,2012,2,2013,11,2013,9,18,24.9,18.5,24.9,18.5,3.2161572006,2.9156895659,4
449,10020,201312,201308,SHORT ShiftLevel,3834,3691,4337,1,1,11,3,93,201205,5,2012,8,2013,12,2013,4,19,3.9,17.5,3.9,17.5,1.3543621132,2.8623169867,4
451,10020,201312,201310,LONG Pure,4170,3691,4040,1,1,11,3,93,201205,5,2012,10,2013,12,2013,2,19,13.0,9.5,13.0,9.5,2.5632180804,2.2465894052,4
471,10020,201403,201306,SHORT ShiftLevel,6329,6526,7215,1,1,11,3,93,201205,5,2012,6,2013,3,2014,9,22,3.0,10.6,3.0,10.6,1.1048244376,2.3568619798,5
491,10020,201405,201305,SHORT ShiftLevel,6811,6592,6947,1,1,11,3,93,201205,5,2012,5,2013,5,2014,12,24,3.3,5.4,3.3,5.4,1.2006298442,1.6836759039,5
510,10020,201406,201312,LONG Pure,4742,5811,4725,1,1,11,3,93,201205,5,2012,12,2013,6,2014,6,25,18.4,18.7,18.4,18.7,2.9121411449,2.9279187344,5
520,10020,201407,201405,LONG Pure,4121,4626,4150,1,1,11,3,93,201205,5,2012,5,2014,7,2014,2,26,10.9,10.3,10.9,10.3,2.3902807725,2.3311401974,5
543,10020,201410,201407,LONG Pure,3539,3235,3712,1,1,11,3,93,201205,5,2012,7,2014,10,2014,3,29,9.4,14.7,9.4,14.7,2.2404136805,2.6909024699,5
583,10020,201502,201501,LONG Pure,4264,3539,4109,1,1,11,3,93,201205,5,2012,1,2015,2,2015,1,33,20.5,16.1,20.5,16.1,3.0197423605,2.7792070665,6
590,10020,201503,201411,LONG Pure,6778,8815,5886,1,1,11,3,93,201205,5,2012,11,2014,3,2015,4,34,23.1,33.2,23.1,33.2,3.1401935074,3.503376438,6
600,10020,201504,201411,LONG Pure,11250,4648,8815,1,1,11,3,93,201205,5,2012,11,2014,4,2015,5,35,142.0,89.7,142.0,89.7,4.9561057999,4.4959295189,6
606,10020,201505,201406,LONG Pure,5872,6502,6062,1,1,11,3,93,201205,5,2012,6,2014,5,2015,11,36,9.7,6.8,9.7,6.8,2.2710249045,1.912079812,6
624,10020,201506,201412,LONG Pure,4870,2998,5177,1,1,11,3,93,201205,5,2012,12,2014,6,2015,6,37,62.4,72.7,62.4,72.7,4.1342321644,4.2860908423,6
643,10020,201509,201501,LONG Pure,3337,3495,3161,1,1,11,3,93,201205,5,2012,1,2015,9,2015,8,40,4.5,9.6,4.5,9.6,1.5086765643,2.2572225243,6
649,10020,201509,201507,LONG Pure,2897,3495,3731,1,1,11,3,93,201205,5,2012,7,2015,9,2015,2,40,17.1,6.8,17.1,6.8,2.8396722853,1.9099133363,6
663,10020,201511,201504,LONG Pure,3753,3276,3854,1,1,11,3,93,201205,5,2012,4,2015,11,2015,7,42,14.6,17.6,14.6,17.6,2.6783082319,2.8703656097,6
700,10020,201603,201507,LONG Pure,7009,6592,5733,1,1,11,3,93,201205,5,2012,7,2015,3,2016,8,46,6.3,13.0,6.3,13.0,1.8446443362,2.5673270364,7
707,10020,201603,201602,LONG Pure,6382,6592,9040,1,1,11,3,93,201205,5,2012,2,2016,3,2016,1,46,3.2,37.1,3.2,37.1,1.1586656451,3.614584758,7
714,10020,201604,201511,LONG Pure,8594,6129,7708,1,1,11,3,93,201205,5,2012,11,2015,4,2016,5,47,40.2,25.8,40.2,25.8,3.694330389,3.2489303168,7
745,10020,201607,201512,LONG Pure,3736,3815,3599,1,1,11,3,93,201205,5,2012,12,2015,7,2016,7,50,2.1,5.7,2.1,5.7,0.7279220947,1.73375265,7
748,10020,201607,201603,LONG Pure,3244,3815,3068,1,1,11,3,93,201205,5,2012,3,2016,7,2016,4,50,15.0,19.6,15.0,19.6,2.7058634519,2.9745394274,7
760,10020,201608,201607,LONG Pure,2649,3469,2820,1,1,11,3,93,201205,5,2012,7,2016,8,2016,1,51,23.6,18.7,23.6,18.7,3.1628528793,2.9289812557,7
764,10020,201609,201602,LONG Pure,2657,2808,2972,1,1,11,3,93,201205,5,2012,2,2016,9,2016,7,52,5.4,5.8,5.4,5.8,1.6822222577,1.7648088487,7
787,10020,201611,201604,LONG Pure,2666,3006,2524,1,1,11,3,93,201205,5,2012,4,2016,11,2016,7,54,11.3,16.0,11.3,16.0,2.4257502333,2.7747487297,7
793,10020,201611,201610,LONG Pure,2907,3006,2894,1,1,11,3,93,201205,5,2012,10,2016,11,2016,1,54,3.3,3.7,3.3,3.7,1.1919244658,1.315303487,7
809,10020,201701,201607,LONG Pure,2896,3308,3520,1,1,11,3,93,201205,5,2012,7,2016,1,2017,6,56,12.5,6.4,12.5,6.4,2.5220944792,1.8576574045,8
837,10020,201704,201608,LONG Pure,6166,5179,5639,1,1,11,3,93,201205,5,2012,8,2016,4,2017,8,59,19.1,8.9,19.1,8.9,2.947472959,2.184029409,8
839,10020,201704,201610,LONG Pure,6376,5179,5182,1,1,11,3,93,201205,5,2012,10,2016,4,2017,6,59,23.1,0.1,23.1,0.1,3.1403766251,-2.848584792,8
850,10020,201705,201610,LONG Pure,4464,5118,4997,1,1,11,3,93,201205,5,2012,10,2016,5,2017,7,60,12.8,2.4,12.8,2.4,2.5477585207,0.8604417149,8
908,10020,201711,201611,LONG Pure,2482,3355,2577,1,1,11,3,93,201205,5,2012,11,2016,11,2017,12,66,26.0,23.2,26.0,23.2,3.2588986924,3.1436896608,8
925,10020,201712,201704,LONG Pure,2475,3340,2592,1,1,11,3,93,201205,5,2012,4,2017,12,2017,8,67,25.9,22.4,25.9,22.4,3.2541736069,3.108847078,8
931,10020,201712,201710,LONG Pure,2282,3340,2952,1,1,11,3,93,201205,5,2012,10,2017,12,2017,2,67,31.7,11.6,31.7,11.6,3.4555797124,2.4524494396,8
945,10020,201802,201709,LONG Pure,2584,3583,3961,1,1,11,3,93,201205,5,2012,9,2017,2,2018,5,69,27.9,10.5,27.9,10.5,3.3279692473,2.3561086643,9
953,10020,201803,201708,LONG Pure,5057,5772,5394,1,1,11,3,93,201205,5,2012,8,2017,3,2018,7,70,12.4,6.5,12.4,6.5,2.5166788088,1.8792904617,9
955,10020,201803,201710,LONG Pure,5407,5772,5198,1,1,11,3,93,201205,5,2012,10,2017,3,2018,5,70,6.3,9.9,6.3,9.9,1.8442936197,2.2970256624,9
956,10020,201803,201711,LONG Pure,5356,5772,5120,1,1,11,3,93,201205,5,2012,11,2017,3,2018,4,70,7.2,11.3,7.2,11.3,1.9750815264,2.424440828,9
977,10020,201805,201801,LONG Pure,4516,3175,5110,1,1,11,3,93,201205,5,2012,1,2018,5,2018,4,72,42.2,60.9,42.2,60.9,3.7432781579,4.1099698801,9
1010,10032,201111,201109,SHORT ShiftLevel,442,954,644,1,1,11,3,45,201010,10,2010,9,2011,11,2011,2,13,53.7,32.5,53.7,32.5,3.9828311396,3.481078812,2
1013,10032,201112,201109,SHORT ShiftLevel,482,523,672,1,1,11,3,45,201010,10,2010,9,2011,12,2011,3,14,7.8,28.5,7.8,28.5,2.0591607886,3.3495350279,2
1030,10032,201204,201202,LONG Pure,773,437,955,1,1,11,3,45,201010,10,2010,2,2012,4,2012,2,18,76.9,118.5,76.9,118.5,4.3423481509,4.7752122332,3
1057,10032,201211,201209,LONG Pure,1024,1031,710,1,1,11,3,45,201010,10,2010,9,2012,11,2012,2,25,0.7,31.1,0.7,31.1,-0.387204149,3.4383268251,3
1109,10032,201308,201304,LONG Pure,1095,341,786,1,1,11,3,45,201010,10,2010,4,2013,8,2013,4,34,221.1,130.5,221.1,130.5,5.3986800767,4.8713619909,4
1114,10032,201309,201304,LONG Pure,932,344,714,1,1,11,3,45,201010,10,2010,4,2013,9,2013,5,35,170.9,107.6,170.9,107.6,5.1412554765,4.6780315343,4
1115,10032,201309,201305,LONG Pure,926,344,692,1,1,11,3,45,201010,10,2010,5,2013,9,2013,4,35,169.2,101.2,169.2,101.2,5.1309989763,4.6167310084,4
1118,10032,201309,201308,LONG Pure,362,344,435,1,1,11,3,45,201010,10,2010,8,2013,9,2013,1,35,5.2,26.5,5.2,26.5,1.6549002865,3.2753880351,4
1146,10032,201401,201312,LONG Pure,609,713,397,1,1,11,3,45,201010,10,2010,12,2013,1,2014,1,39,14.6,44.3,14.6,44.3,2.6800796647,3.7914309792,5
1150,10032,201402,201312,LONG Pure,406,715,341,1,1,11,3,45,201010,10,2010,12,2013,2,2014,2,40,43.2,52.3,43.2,52.3,3.7662289202,3.9571434407,5
1154,10032,201403,201311,LONG Pure,516,490,480,1,1,11,3,45,201010,10,2010,11,2013,3,2014,4,41,5.3,2.0,5.3,2.0,1.6688613329,0.7133498879,5
1174,10036,201701,201609,SHORT XT,1498,2034,1790,1,1,11,3,158,201612,12,2016,9,2016,1,2017,4,1,26.4,12.0,26.4,12.0,3.2715447705,2.4845788347,8
1176,10036,201701,201611,SHORT XT,1524,2034,1810,1,1,11,3,158,201612,12,2016,11,2016,1,2017,2,1,25.1,11.0,25.1,11.0,3.2218213351,2.3990566612,8
1177,10036,201701,201612,SHORT XT,1444,2034,1797,1,1,11,3,158,201612,12,2016,12,2016,1,2017,1,1,29.0,11.7,29.0,11.7,3.3675331463,2.4554707505,8
1183,10036,201706,201705,SHORT ShiftLevel,433,153,300,1,1,11,3,158,201612,12,2016,5,2017,6,2017,1,6,183.0,96.1,183.0,96.1,5.2095218678,4.5651648514,8
1194,10036,201709,201704,SHORT ShiftLevel,301,223,204,1,1,11,3,158,201612,12,2016,4,2017,9,2017,5,9,35.0,8.5,35.0,8.5,3.5547072412,2.1424373937,8
1196,10036,201709,201706,SHORT ShiftLevel,263,223,213,1,1,11,3,158,201612,12,2016,6,2017,9,2017,3,9,17.9,4.5,17.9,4.5,2.8868778686,1.5005835075,8
1197,10036,201709,201707,SHORT ShiftLevel,216,223,189,1,1,11,3,158,201612,12,2016,7,2017,9,2017,2,9,3.1,15.2,3.1,15.2,1.1439085636,2.7243589391,8
1198,10036,201709,201708,SHORT ShiftLevel,193,223,146,1,1,11,3,158,201612,12,2016,8,2017,9,2017,1,9,13.5,34.5,13.5,34.5,2.5991957962,3.5418038364,8
1202,10036,201710,201706,SHORT ShiftLevel,265,165,193,1,1,11,3,158,201612,12,2016,6,2017,10,2017,4,10,60.6,17.0,60.6,17.0,4.1043948981,2.8314292223,8
1203,10036,201710,201707,SHORT ShiftLevel,235,165,176,1,1,11,3,158,201612,12,2016,7,2017,10,2017,3,10,42.4,6.7,42.4,6.7,3.7477199541,1.8971199849,8
1220,10036,201712,201709,SHORT ShiftLevel,143,191,202,1,1,11,3,158,201612,12,2016,9,2017,12,2017,3,12,25.1,5.8,25.1,5.8,3.2240977688,1.7507920307,8
1231,10036,201801,201711,SHORT ShiftLevel,186,142,193,1,1,11,3,158,201612,12,2016,11,2017,1,2018,2,13,31.0,35.9,31.0,35.9,3.4335327623,3.5811687611,9
1243,10036,201802,201801,SHORT ShiftLevel,248,199,195,1,1,11,3,158,201612,12,2016,1,2018,2,2018,1,14,24.6,2.0,24.6,2.0,3.2036856594,0.6981597224,9
1262,10036,201804,201710,SHORT ShiftLevel,278,406,229,1,1,11,3,158,201612,12,2016,10,2017,4,2018,6,16,31.5,43.6,31.5,43.6,3.4508472903,3.774966759,9
1287,10039,201106,201104,LONG DownTrend,925,1124,935,1,1,11,8,148,199207,7,1992,4,2011,6,2011,2,120,17.7,16.8,17.7,16.8,2.8738259803,2.8222681706,2
1293,10039,201108,201105,LONG DownTrend,688,1095,898,1,1,11,8,148,199207,7,1992,5,2011,8,2011,3,120,37.2,18.0,37.2,18.0,3.6154737292,2.8898642725,2
1310,10039,201112,201107,LONG DownTrend,1102,749,1103,1,1,11,8,148,199207,7,1992,7,2011,12,2011,5,120,47.1,47.3,47.1,47.3,3.8528992594,3.8557281156,2
1318,10039,201201,201109,LONG DownTrend,1306,907,1474,1,1,11,8,148,199207,7,1992,9,2011,1,2012,4,120,44.0,62.5,44.0,62.5,3.7839891528,4.1353870396,3
1327,10039,201202,201111,LONG DownTrend,1582,794,1112,1,1,11,8,148,199207,7,1992,11,2011,2,2012,3,120,99.2,40.1,99.2,40.1,4.5975848146,3.6901381075,3
1331,10039,201203,201107,LONG DownTrend,1727,1208,1704,1,1,11,8,148,199207,7,1992,7,2011,3,2012,8,120,43.0,41.1,43.0,41.1,3.7603526907,3.7150247342,3
1353,10039,201205,201110,LONG DownTrend,1846,1293,1976,1,1,11,8,148,199207,7,1992,10,2011,5,2012,7,120,42.8,52.8,42.8,52.8,3.7558078087,3.9669446668,3
1376,10039,201207,201204,LONG DownTrend,1270,1220,1199,1,1,11,8,148,199207,7,1992,4,2012,7,2012,3,120,4.1,1.7,4.1,1.7,1.4105870537,0.543086486,3
1386,10039,201209,201208,LONG DownTrend,1289,879,1285,1,1,11,8,148,199207,7,1992,8,2012,9,2012,1,120,46.6,46.2,46.6,46.2,3.842542448,3.8327384479,3
1410,10039,201301,201210,LONG XT,1034,1113,916,1,1,11,8,148,199207,7,1992,10,2012,1,2013,3,120,7.1,17.7,7.1,17.7,1.9598036872,2.8735595635,4
1412,10039,201301,201212,LONG XT,923,1113,906,1,1,11,8,148,199207,7,1992,12,2012,1,2013,1,120,17.1,18.6,17.1,18.6,2.8373799069,2.923074628,4
1419,10039,201302,201211,LONG XT,920,830,918,1,1,11,8,148,199207,7,1992,11,2012,2,2013,3,120,10.8,10.6,10.8,10.6,2.3835541555,2.3610812997,4
1456,10039,201306,201206,LONG DownTrend,940,838,993,1,1,11,8,148,199207,7,1992,6,2012,6,2013,12,120,12.2,18.5,12.2,18.5,2.4991248988,2.9175772024,4
1465,10039,201306,201303,LONG XT,1288,838,944,1,1,11,8,148,199207,7,1992,3,2013,6,2013,3,120,53.7,12.6,53.7,12.6,3.9833996683,2.5375911796,4
1468,10039,201307,201303,LONG XT,1381,974,1130,1,1,11,8,148,199207,7,1992,3,2013,7,2013,4,120,41.8,16.0,41.8,16.0,3.7325720678,2.7736148896,4
1471,10039,201307,201306,LONG Pure,1097,974,1227,1,1,11,8,148,199207,7,1992,6,2013,7,2013,1,120,12.6,26.0,12.6,26.0,2.5359432377,3.2571483711,4
1523,10039,201403,201401,LONG Pure,1285,1340,1160,1,1,11,8,148,199207,7,1992,1,2014,3,2014,2,120,4.1,13.4,4.1,13.4,1.4120784783,2.5977021439,5
1524,10039,201403,201402,LONG Pure,1267,1340,890,1,1,11,8,148,199207,7,1992,2,2014,3,2014,1,120,5.4,33.6,5.4,33.6,1.6952047342,3.5139928758,5
1553,10039,201406,201310,LONG Pure,722,1219,771,1,1,11,8,148,199207,7,1992,10,2013,6,2014,8,120,40.8,36.8,40.8,36.8,3.7079740826,3.6041772889,5
1561,10039,201407,201401,LONG Pure,857,906,923,1,1,11,8,148,199207,7,1992,1,2014,7,2014,6,120,5.4,1.9,5.4,1.9,1.6879511781,0.629344224,5
1567,10039,201408,201401,LONG Pure,649,706,692,1,1,11,8,148,199207,7,1992,1,2014,8,2014,7,120,8.1,2.0,8.1,2.0,2.0886062163,0.6846122781,5
1568,10039,201408,201402,LONG Pure,645,706,595,1,1,11,8,148,199207,7,1992,2,2014,8,2014,6,120,8.6,15.7,8.6,15.7,2.1564288127,2.7550851498,5
1578,10039,201409,201406,LONG Pure,846,852,611,1,1,11,8,148,199207,7,1992,6,2014,9,2014,3,120,0.7,28.3,0.7,28.3,-0.350656872,3.3423805926,5
1580,10039,201409,201408,LONG Pure,847,852,694,1,1,11,8,148,199207,7,1992,8,2014,9,2014,1,120,0.6,18.5,0.6,18.5,-0.532978428,2.9201786922,5
1622,10039,201502,201410,LONG Pure,757,735,562,1,1,11,8,148,199207,7,1992,10,2014,2,2015,4,120,3.0,23.5,3.0,23.5,1.0963421401,3.1585912813,6
1642,10039,201504,201407,LONG Pure,1518,1218,1364,1,1,11,8,148,199207,7,1992,7,2014,4,2015,9,120,24.6,12.0,24.6,12.0,3.2039872124,2.4838113594,6
1658,10039,201505,201410,LONG Pure,1415,1417,1172,1,1,11,8,148,199207,7,1992,10,2014,5,2015,7,120,0.1,17.3,0.1,17.3,-1.957979873,2.8501311568,6
1684,10039,201507,201411,LONG Pure,886,1628,780,1,1,11,8,148,199207,7,1992,11,2014,7,2015,8,120,45.6,52.1,45.6,52.1,3.8194118826,3.9529432752,6
1717,10039,201510,201505,LONG Pure,563,613,588,1,1,11,8,148,199207,7,1992,5,2015,10,2015,5,120,8.2,4.1,8.2,4.1,2.0988282555,1.4056810749,6
1766,10039,201602,201512,LONG Pure,779,706,659,1,1,11,8,148,199207,7,1992,12,2015,2,2016,2,120,10.3,6.7,10.3,6.7,2.3360143896,1.8957025502,7
1786,10039,201604,201505,LONG Pure,1357,742,1373,1,1,11,8,148,199207,7,1992,5,2015,4,2016,11,120,82.9,85.0,82.9,85.0,4.4174432106,4.4431268054,7
1791,10039,201604,201510,LONG Pure,1386,742,1197,1,1,11,8,148,199207,7,1992,10,2015,4,2016,6,120,86.8,61.3,86.8,61.3,4.4635196689,4.1161183618,7
1796,10039,201604,201603,LONG Pure,1023,742,1168,1,1,11,8,148,199207,7,1992,3,2016,4,2016,1,120,37.9,57.4,37.9,57.4,3.6341756122,4.0502602891,7
1805,10039,201605,201509,LONG Pure,1356,997,1282,1,1,11,8,148,199207,7,1992,9,2015,5,2016,8,120,36.0,28.6,36.0,28.6,3.5837418045,3.3529085963,7
1811,10039,201605,201603,LONG Pure,1009,997,1303,1,1,11,8,148,199207,7,1992,3,2016,5,2016,2,120,1.2,30.7,1.2,30.7,0.1853260658,3.424004518,7
1820,10039,201606,201508,LONG Pure,873,626,934,1,1,11,8,148,199207,7,1992,8,2015,6,2016,10,120,39.5,49.2,39.5,49.2,3.6752081515,3.8959195979,7
1837,10039,201607,201509,LONG Pure,964,708,491,1,1,11,8,148,199207,7,1992,9,2015,7,2016,10,120,36.2,30.6,36.2,30.6,3.5879035368,3.4226234458,7
1843,10039,201607,201603,LONG Pure,771,708,955,1,1,11,8,148,199207,7,1992,3,2016,7,2016,4,120,8.9,34.9,8.9,34.9,2.1858608187,3.5521144289,7
1848,10039,201608,201504,LONG Pure,492,549,457,1,1,11,8,148,199207,7,1992,4,2015,8,2016,16,120,10.4,16.8,10.4,16.8,2.3401230123,2.8188603215,7
1852,10039,201608,201508,LONG Pure,658,549,443,1,1,11,8,148,199207,7,1992,8,2015,8,2016,12,120,19.9,19.3,19.9,19.3,2.9884196267,2.9605108386,7
1874,10039,201610,201603,LONG Pure,703,486,665,1,1,11,8,148,199207,7,1992,3,2016,10,2016,7,120,44.7,36.8,44.7,36.8,3.7988589156,3.6063473679,7
1888,10039,201611,201608,LONG Pure,735,627,672,1,1,11,8,148,199207,7,1992,8,2016,11,2016,3,120,17.2,7.2,17.2,7.2,2.8463548725,1.9708861351,7
1911,10039,201701,201610,LONG Pure,652,486,477,1,1,11,8,148,199207,7,1992,10,2016,1,2017,3,120,34.2,1.9,34.2,1.9,3.5309493504,0.6161861394,8
1946,10039,201704,201606,LONG Pure,1012,1159,1334,1,1,11,8,148,199207,7,1992,6,2016,4,2017,10,120,12.7,15.1,12.7,15.1,2.5402899294,2.7146433166,8
1947,10039,201704,201607,LONG Pure,840,1159,1334,1,1,11,8,148,199207,7,1992,7,2016,4,2017,9,120,27.5,15.1,27.5,15.1,3.3150484454,2.7146433166,8
1949,10039,201704,201609,LONG Pure,820,1159,1059,1,1,11,8,148,199207,7,1992,9,2016,4,2017,7,120,29.2,8.6,29.2,8.6,3.37585745,2.1550275286,8
1974,10039,201706,201603,LONG Pure,631,578,956,1,1,11,8,148,199207,7,1992,3,2016,6,2017,15,120,9.2,65.4,9.2,65.4,2.2158882309,4.1804905129,8
1976,10039,201706,201605,LONG Pure,596,578,919,1,1,11,8,148,199207,7,1992,5,2016,6,2017,13,120,3.1,59.0,3.1,59.0,1.1359680752,4.0774787946,8
1984,10039,201706,201701,LONG Pure,525,578,683,1,1,11,8,148,199207,7,1992,1,2017,6,2017,5,120,9.2,18.2,9.2,18.2,2.2158882309,2.8995566675,8
1993,10039,201707,201606,LONG Pure,716,542,859,1,1,11,8,148,199207,7,1992,6,2016,7,2017,13,120,32.1,58.5,32.1,58.5,3.4689594838,4.0688059584,8
1994,10039,201707,201607,LONG Pure,684,542,861,1,1,11,8,148,199207,7,1992,7,2016,7,2017,12,120,26.2,58.9,26.2,58.9,3.2657312421,4.0750952873,8
1996,10039,201707,201609,LONG Pure,634,542,600,1,1,11,8,148,199207,7,1992,9,2016,7,2017,10,120,17.0,10.7,17.0,10.7,2.8316927616,2.3703471951,8
2013,10039,201708,201610,LONG Pure,572,434,518,1,1,11,8,148,199207,7,1992,10,2016,8,2017,10,120,31.8,19.4,31.8,19.4,3.459379337,2.9629424507,8
2015,10039,201708,201612,LONG Pure,543,434,482,1,1,11,8,148,199207,7,1992,12,2016,8,2017,8,120,25.1,11.1,25.1,11.1,3.2234735341,2.4033266628,8
2024,10039,201709,201702,LONG Pure,627,335,431,1,1,11,8,148,199207,7,1992,2,2017,9,2017,7,120,87.2,28.7,87.2,28.7,4.4677934564,3.3553878456,8
