ID_OSOB;ID_GOSP;WOJ;PLEC;WIEK;TYP_RODZ;DOCHM;WYDM;EDU;KMZ
1596;206680211;Podlaskie;Kobieta;31;1:Osoba samotna;1120;1268.12;4;2
1597;206680221;Podlaskie;Mezczyzna;45;4:Malzenstwo +2;2541.5;4276.15;3;2
1601;206680411;Podlaskie;Kobieta;29;3:Malzenstwo +1;1904.8;1569.08;1;2
1619;206680821;Podlaskie;Mezczyzna;27;3:Malzenstwo +1;2409.08;2772.14;1;2
1620;206680821;Podlaskie;Kobieta;25;3:Malzenstwo +1;2409.08;2772.14;1;2
1654;206690821;Podlaskie;Mezczyzna;48;5:Malzenstwo +3;4500;2816.36;4;2
1681;206700521;Podlaskie;Mezczyzna;63;2:Malzenstwo bez dzieci;1560;1301.61;5;2
1726;206710621;Podlaskie;Mezczyzna;50;4:Malzenstwo +2;3182;2303.57;5;2
1754;206720411;Podlaskie;Mezczyzna;36;3:Malzenstwo +1;2139.09;7115.99;3;2
1759;206720711;Podlaskie;Kobieta;56;9:Pozostale;1934;1654.33;7;2
1765;206720821;Podlaskie;Mezczyzna;26;9:Pozostale;3432.5;4191.22;1;2
1780;206730121;Podlaskie;Kobieta;27;9:Pozostale;2800;2185.43;4;2
1791;206730511;Podlaskie;Kobieta;76;1:Osoba samotna;1554.48;1448.28;3;2
1802;206731011;Podlaskie;Mezczyzna;80;9:Pozostale;3968.47;3271.66;3;2
1827;206740621;Podkarpackie;Mezczyzna;58;9:Pozostale;3562;3030.77;5;3
1828;206740621;Podkarpackie;Kobieta;58;9:Pozostale;3562;3030.77;7;3
1844;206741221;Podkarpackie;Kobieta;51;2:Malzenstwo bez dzieci;2409.5;2589.98;3;3
1845;206750111;Podkarpackie;Mezczyzna;52;3:Malzenstwo +1;1812;1497.84;5;3
1850;206750221;Podkarpackie;Kobieta;67;2:Malzenstwo bez dzieci;1570.34;1294.06;7;3
1881;206751211;Podkarpackie;Kobieta;23;9:Pozostale;1634;4128.77;5;3
1926;206770211;Opolskie;Kobieta;51;2:Malzenstwo bez dzieci;3471.6;2876.34;3;3
1943;206780121;Opolskie;Kobieta;55;9:Pozostale;2930;2935.32;1;3
1951;206780321;Opolskie;Mezczyzna;59;2:Malzenstwo bez dzieci;4652.42;4718.15;1;3
1953;206780411;Opolskie;Kobieta;44;4:Malzenstwo +2;3032;1617.65;1;3
1957;206780421;Opolskie;Mezczyzna;46;3:Malzenstwo +1;3176.85;3162.78;3;3
1962;206780611;Opolskie;Mezczyzna;60;2:Malzenstwo bez dzieci;3800.5;2424.3;5;3
2009;206791211;Opolskie;Mezczyzna;75;9:Pozostale;3917.98;3880.75;1;3
2014;206800421;Opolskie;Kobieta;79;9:Pozostale;3070;4155.91;4;3
2019;206800621;Opolskie;Mezczyzna;31;3:Malzenstwo +1;6926;7021.09;1;3
2051;206810611;Mazowieckie;Mezczyzna;56;9:Pozostale;8169;2085.41;1;1
2064;206810911;Mazowieckie;Kobieta;23;9:Pozostale;3870.82;4021.94;4;1
2073;206811121;Mazowieckie;Mezczyzna;62;2:Malzenstwo bez dzieci;5838.78;3080.36;3;1
2077;206820111;Mazowieckie;Mezczyzna;31;2:Malzenstwo bez dzieci;7040;10815.24;3;1
2145;206831222;Mazowieckie;Kobieta;41;4:Malzenstwo +2;12100.45;11009.95;1;1
2149;206840121;Mazowieckie;Mezczyzna;27;9:Pozostale;9977.17;5452.94;1;1
2156;206840611;Mazowieckie;Kobieta;31;1:Osoba samotna;6740;2684.72;1;1
2170;206850111;Mazowieckie;Mezczyzna;34;4:Malzenstwo +2;4340;2761.46;1;1
2188;206850711;Mazowieckie;Kobieta;54;9:Pozostale;4300;2642.06;4;1
2202;206851121;Mazowieckie;Kobieta;26;9:Pozostale;6159.34;3191.91;1;1
2207;206860221;Mazowieckie;Kobieta;52;9:Pozostale;2000;2880.08;3;1
2251;206870511;Mazowieckie;Kobieta;61;3:Malzenstwo +1;3010.5;3066.11;1;1
2257;206870711;Mazowieckie;Mezczyzna;57;2:Malzenstwo bez dzieci;3563.16;2559.57;5;1
2262;206870911;Mazowieckie;Kobieta;73;9:Pozostale;2379.52;2416.72;4;1
2277;206871211;Mazowieckie;Kobieta;21;9:Pozostale;3210.07;2216.03;4;1
2316;206890211;Mazowieckie;Mezczyzna;20;1:Osoba samotna;1423.65;949.68;4;1
2322;206890711;Mazowieckie;Mezczyzna;30;9:Pozostale;4647;2533.4;7;1
2333;206891121;Mazowieckie;Kobieta;31;9:Pozostale;5247.98;3678.85;4;1
2420;206920421;Mazowieckie;Mezczyzna;52;2:Malzenstwo bez dzieci;2205.46;1345.9;5;1
2438;206921211;Mazowieckie;Mezczyzna;28;1:Osoba samotna;7000;6856.09;1;1
2443;206930511;Mazowieckie;Kobieta;48;1:Osoba samotna;5462.27;3466.42;2;1
2466;206940111;Mazowieckie;Kobieta;29;9:Pozostale;7290;2532.01;1;1
2528;206950911;Mazowieckie;Mezczyzna;47;4:Malzenstwo +2;2738.82;2176.36;3;1
2554;206960711;Mazowieckie;Kobieta;36;3:Malzenstwo +1;7739.82;4890.32;2;1
2635;206981021;Mazowieckie;Kobieta;56;2:Malzenstwo bez dzieci;5767.97;5471.96;1;1
2657;206990621;Mazowieckie;Kobieta;24;9:Pozostale;17431.34;24080.69;4;1
2688;207000711;Mazowieckie;Kobieta;26;1:Osoba samotna;2956.33;2453.64;1;1
2696;207001221;Mazowieckie;Mezczyzna;73;2:Malzenstwo bez dzieci;3239.71;3139.57;1;1
2707;207010612;Mazowieckie;Kobieta;46;3:Malzenstwo +1;5539;2582.71;4;1
2725;207020211;Mazowieckie;Kobieta;50;2:Malzenstwo bez dzieci;826.07;1697.34;5;1
2805;207040721;Mazowieckie;Kobieta;31;9:Pozostale;6088.6;6389.43;5;1
2811;207040821;Mazowieckie;Mezczyzna;55;2:Malzenstwo bez dzieci;1973.94;1904.88;3;1
2812;207040911;Mazowieckie;Mezczyzna;57;2:Malzenstwo bez dzieci;2157.38;2083.48;3;1
2816;207041021;Mazowieckie;Kobieta;41;9:Pozostale;3578;2656.48;5;1
2844;207050811;Mazowieckie;Kobieta;65;2:Malzenstwo bez dzieci;1285.6;3515.58;7;1
2885;207060911;Mazowieckie;Kobieta;32;7:Matka i dzieci;1043.33;2837.37;4;1
2915;207070621;Mazowieckie;Kobieta;52;9:Pozostale;3340;2575.08;5;1
2919;207070721;Mazowieckie;Kobieta;55;9:Pozostale;1778.34;1869.8;7;1
2927;207071011;Mazowieckie;Kobieta;80;1:Osoba samotna;3117;2101.77;3;1
2946;207081011;Mazowieckie;Mezczyzna;34;2:Malzenstwo bez dzieci;5736.33;4455.92;5;1
2973;207090911;Mazowieckie;Mezczyzna;48;9:Pozostale;10245;7177.72;2;1
2977;207090921;Mazowieckie;Kobieta;30;3:Malzenstwo +1;10045.76;9652.39;1;1
2986;207091221;Mazowieckie;Kobieta;32;3:Malzenstwo +1;8003.5;6211.92;1;1
2992;207100611;Mazowieckie;Kobieta;56;9:Pozostale;9409.9;4483.23;1;1
2993;207100611;Mazowieckie;Mezczyzna;26;9:Pozostale;9409.9;4483.23;1;1
3036;207111021;Mazowieckie;Kobieta;58;2:Malzenstwo bez dzieci;3195.79;2244.85;1;1
3084;207130621;Mazowieckie;Mezczyzna;33;4:Malzenstwo +2;3574;2239.57;7;1
3086;207130721;Mazowieckie;Kobieta;44;2:Malzenstwo bez dzieci;1364.2;4009.84;5;1
3099;207140111;Mazowieckie;Mezczyzna;25;2:Malzenstwo bez dzieci;6376.21;4720.02;4;1
3103;207140221;Mazowieckie;Kobieta;34;9:Pozostale;6830.67;5402.31;1;1
3142;207150221;Mazowieckie;Mezczyzna;50;9:Pozostale;6496.16;6192.66;3;1
3143;207150221;Mazowieckie;Kobieta;42;9:Pozostale;6496.16;6192.66;2;1
3144;207150311;Mazowieckie;Kobieta;54;1:Osoba samotna;1790;1578.34;5;1
3145;207150321;Mazowieckie;Kobieta;23;1:Osoba samotna;1912;2997.46;4;1
3147;207150421;Mazowieckie;Kobieta;26;1:Osoba samotna;2666;3040.63;4;1
3195;207160721;Mazowieckie;Mezczyzna;53;9:Pozostale;5237.91;4468.11;3;1
3200;207160911;Mazowieckie;Mezczyzna;34;4:Malzenstwo +2;1450;3458.33;5;1
3232;207170911;Mazowieckie;Kobieta;58;9:Pozostale;4180;3543.52;2;1
3254;207180611;Mazowieckie;Kobieta;41;4:Malzenstwo +2;7460;2404.88;3;1
3278;207190111;Mazowieckie;Mezczyzna;26;9:Pozostale;4088.7;3693.5;3;1
3284;207190411;Mazowieckie;Kobieta;44;9:Pozostale;5366.7;3520.93;1;1
3302;207190721;Mazowieckie;Kobieta;37;3:Malzenstwo +1;4046;2345.89;1;1
3333;207200821;Malopolskie;Kobieta;44;4:Malzenstwo +2;4385.6;4429.62;1;1
3344;207210211;Malopolskie;Mezczyzna;35;1:Osoba samotna;3492.5;1730.61;1;1
3366;207210721;Malopolskie;Kobieta;41;3:Malzenstwo +1;4060;3540.61;5;1
3385;207220111;Malopolskie;Kobieta;52;3:Malzenstwo +1;3130;2343.8;1;1
3399;207220411;Malopolskie;Mezczyzna;22;4:Malzenstwo +2;12978;5249.49;1;1
3400;207220421;Malopolskie;Kobieta;25;1:Osoba samotna;1904.08;1678.55;4;1
3406;207220611;Malopolskie;Mezczyzna;59;2:Malzenstwo bez dzieci;4700;2502.31;1;1
3410;207220711;Malopolskie;Mezczyzna;70;9:Pozostale;4451.5;4457.79;5;1
3418;207220921;Malopolskie;Kobieta;51;9:Pozostale;8900;2773.05;1;1
3423;207221021;Malopolskie;Kobieta;37;1:Osoba samotna;2300;1726.17;1;1
3425;207221111;Malopolskie;Kobieta;38;5:Malzenstwo +3;8030;5950.25;1;1
3446;207230511;Malopolskie;Mezczyzna;21;9:Pozostale;5631.8;2475.34;4;1
3472;207240421;Malopolskie;Mezczyzna;27;3:Malzenstwo +1;3220;3575.48;3;1
3473;207240421;Malopolskie;Kobieta;24;3:Malzenstwo +1;3220;3575.48;2;1
3482;207240711;Malopolskie;Kobieta;43;4:Malzenstwo +2;6000;8124.71;3;1
3489;207240921;Malopolskie;Kobieta;24;1:Osoba samotna;1910;2825.36;4;1
3531;207260321;Malopolskie;Kobieta;25;9:Pozostale;6857.55;4985.93;1;1
3542;207260811;Malopolskie;Kobieta;51;3:Malzenstwo +1;2850;2242.9;5;1
3549;207260821;Malopolskie;Mezczyzna;25;9:Pozostale;5406;3361.35;1;1
3573;207270421;Malopolskie;Kobieta;69;2:Malzenstwo bez dzieci;1960;1449.3;7;1
3602;207280221;Malopolskie;Mezczyzna;35;3:Malzenstwo +1;3500;1864.66;3;1
3627;207281021;Malopolskie;Kobieta;52;2:Malzenstwo bez dzieci;2029.2;2471.46;7;1
3643;207290311;Malopolskie;Kobieta;24;2:Malzenstwo bez dzieci;2999.69;1879.34;4;1
3649;207290911;Malopolskie;Kobieta;32;2:Malzenstwo bez dzieci;6000;2483.72;1;1
3653;207291121;Malopolskie;Kobieta;44;7:Matka i dzieci;3000;2434.66;2;1
3664;207300411;Malopolskie;Mezczyzna;23;2:Malzenstwo bez dzieci;2621.69;4231.48;4;1
3727;207320421;Malopolskie;Kobieta;22;9:Pozostale;4200;2751.42;3;1
3745;207320821;Malopolskie;Kobieta;52;9:Pozostale;6900;2164.54;1;1
3767;207330221;Malopolskie;Mezczyzna;60;9:Pozostale;11117.3;18022.76;1;1
3775;207330611;Malopolskie;Kobieta;30;2:Malzenstwo bez dzieci;1405.13;3369.31;1;1
3780;207330711;Malopolskie;Kobieta;22;4:Malzenstwo +2;3834.04;5106.77;4;1
3806;207340311;Malopolskie;Kobieta;24;3:Malzenstwo +1;22032.3;9631.72;1;1
3823;207340921;Malopolskie;Mezczyzna;26;9:Pozostale;5500;6772.33;1;1
3824;207340921;Malopolskie;Kobieta;24;9:Pozostale;5500;6772.33;4;1
3831;207341211;Malopolskie;Mezczyzna;61;2:Malzenstwo bez dzieci;3396.44;2562.45;3;1
3886;207360511;Lodzkie;Kobieta;28;1:Osoba samotna;1769.5;1585.81;1;1
3890;207360721;Lodzkie;Kobieta;32;4:Malzenstwo +2;3037.33;3540.05;3;1
3912;207370421;Lodzkie;Mezczyzna;54;4:Malzenstwo +2;2866.2;2322.38;3;1
3950;207390221;Lodzkie;Kobieta;77;9:Pozostale;3417;1090.14;7;1
4036;207420111;Lodzkie;Kobieta;60;1:Osoba samotna;1327.6;1329.23;3;1
4089;207430611;Lodzkie;Kobieta;84;9:Pozostale;2861.15;2010.45;7;1
4091;207430621;Lodzkie;Mezczyzna;50;2:Malzenstwo bez dzieci;3350.3;2844.54;3;1
4114;207440221;Lodzkie;Kobieta;43;4:Malzenstwo +2;3266;2496.7;4;1
4130;207440721;Lodzkie;Kobieta;58;3:Malzenstwo +1;1959.15;7290.22;7;1
4157;207450221;Lodzkie;Kobieta;40;4:Malzenstwo +2;2240.4;1902.63;5;1
4177;207450811;Lodzkie;Mezczyzna;40;4:Malzenstwo +2;2663.2;2866.95;3;1
4212;207460611;Lodzkie;Kobieta;36;4:Malzenstwo +2;5898.4;3208.63;1;1
4217;207460911;Lodzkie;Kobieta;60;9:Pozostale;3028.2;1968.8;7;1
4225;207461111;Lodzkie;Kobieta;20;9:Pozostale;3041.22;3338.13;4;1
4237;207470321;Lodzkie;Kobieta;26;9:Pozostale;5200;2133.7;5;1
4273;207480521;Lodzkie;Mezczyzna;59;9:Pozostale;4685.65;3874;3;1
4355;207501211;Lodzkie;Mezczyzna;43;4:Malzenstwo +2;6138.2;4063.53;3;1
4384;207511011;Lodzkie;Mezczyzna;55;9:Pozostale;5230;4951.24;5;1
4387;207511011;Lodzkie;Mezczyzna;32;9:Pozostale;5230;4951.24;1;1
4403;207520311;Lodzkie;Kobieta;64;2:Malzenstwo bez dzieci;4496.3;3025.95;1;1
4414;207521011;Lodzkie;Kobieta;57;9:Pozostale;1952.63;1277.16;1;1
4415;207521011;Lodzkie;Kobieta;83;9:Pozostale;1952.63;1277.16;7;1
4419;207521111;Lodzkie;Kobieta;62;2:Malzenstwo bez dzieci;2786.5;2913.75;4;1
4434;207530321;Lodzkie;Kobieta;54;9:Pozostale;7092.2;4062.46;4;1
4439;207530421;Lodzkie;Kobieta;20;3:Malzenstwo +1;3644;2559.24;4;1
4462;207540111;Lubuskie;Kobieta;62;2:Malzenstwo bez dzieci;2077.52;2164.45;3;3
4479;207540611;Lubuskie;Kobieta;48;9:Pozostale;1748.56;1481.34;5;3
4483;207540711;Lubuskie;Kobieta;58;2:Malzenstwo bez dzieci;971.07;714.69;7;3
4490;207541011;Lubuskie;Kobieta;43;9:Pozostale;1480;1585.94;3;3
4538;207560221;Lubuskie;Mezczyzna;60;2:Malzenstwo bez dzieci;3104;2186.85;3;3
4552;207560911;Lubuskie;Mezczyzna;55;9:Pozostale;1986;1076.79;5;3
4568;207570311;Lubelskie;Mezczyzna;50;9:Pozostale;2434.83;1339.57;3;2
4653;207591221;Lubelskie;Kobieta;59;2:Malzenstwo bez dzieci;5936.78;4125.96;1;2
4669;207600621;Lubelskie;Mezczyzna;28;3:Malzenstwo +1;2092.9;1421.42;3;2
4700;207610311;Lubelskie;Kobieta;20;7:Matka i dzieci;1252.68;1489.83;6;2
4732;207611221;Lubelskie;Mezczyzna;31;9:Pozostale;10532;4685.53;3;2
4740;207620211;Lubelskie;Kobieta;50;9:Pozostale;2826.88;1389.84;3;2
4748;207620511;Lubelskie;Mezczyzna;25;9:Pozostale;1901.7;2507.65;4;2
4766;207621111;Lubelskie;Kobieta;57;1:Osoba samotna;1440.63;675.08;5;2
4767;207621121;Lubelskie;Kobieta;24;2:Malzenstwo bez dzieci;4529;10549.89;1;2
4782;207630421;Lubelskie;Kobieta;21;9:Pozostale;2970.6;1234.21;4;2
4813;207640311;Kujawsko-pomorskie;Kobieta;52;3:Malzenstwo +1;2417.6;2205.14;1;2
4818;207640411;Kujawsko-pomorskie;Kobieta;55;9:Pozostale;4920;2458.43;5;2
4824;207640511;Kujawsko-pomorskie;Mezczyzna;32;4:Malzenstwo +2;4374.2;4402.19;5;2
4826;207640521;Kujawsko-pomorskie;Kobieta;68;9:Pozostale;3796.23;3870.01;7;2
4831;207640821;Kujawsko-pomorskie;Mezczyzna;61;2:Malzenstwo bez dzieci;1550;4868.12;7;2
4860;207650611;Kujawsko-pomorskie;Kobieta;78;9:Pozostale;2148.3;2451.55;7;2
4883;207660321;Kujawsko-pomorskie;Kobieta;76;2:Malzenstwo bez dzieci;2000.28;1130.18;5;2
4895;207661111;Kujawsko-pomorskie;Kobieta;37;6:Malzenstwo +4+;3430.83;2997.23;5;2
4915;207670621;Kujawsko-pomorskie;Mezczyzna;51;9:Pozostale;6665;4777.58;3;2
4925;207671111;Kujawsko-pomorskie;Kobieta;56;9:Pozostale;2487.25;2174;7;2
4958;207680821;Kujawsko-pomorskie;Kobieta;43;3:Malzenstwo +1;6929.44;6381.54;1;2
5071;207720411;Dolnoslaskie;Mezczyzna;24;2:Malzenstwo bez dzieci;3231;1492.02;4;1
5079;207721011;Dolnoslaskie;Mezczyzna;46;3:Malzenstwo +1;5744.38;4398.81;1;1
5098;207730621;Dolnoslaskie;Kobieta;53;9:Pozostale;4596.5;4521.84;4;1
5115;207740211;Dolnoslaskie;Mezczyzna;36;9:Pozostale;5452;4730.15;5;1
5143;207750211;Dolnoslaskie;Kobieta;71;2:Malzenstwo bez dzieci;2559.26;1423.41;1;1
5185;207761111;Dolnoslaskie;Kobieta;23;5:Malzenstwo +3;4237.67;3782.24;4;1
5222;207771221;Dolnoslaskie;Mezczyzna;32;3:Malzenstwo +1;3790.24;3882.69;1;1
5223;207771221;Dolnoslaskie;Kobieta;33;3:Malzenstwo +1;3790.24;3882.69;1;1
5253;207781011;Dolnoslaskie;Mezczyzna;37;3:Malzenstwo +1;1821.01;1672.5;5;1
5301;207801211;Dolnoslaskie;Kobieta;73;1:Osoba samotna;981.91;994.88;1;1
5302;207801221;Dolnoslaskie;Mezczyzna;76;9:Pozostale;2353.6;1464.98;3;1
5345;207820311;Dolnoslaskie;Mezczyzna;48;3:Malzenstwo +1;3560;4172.76;3;1
5350;207820511;Dolnoslaskie;Kobieta;32;4:Malzenstwo +2;3402;3498.3;3;1
5371;207830121;Dolnoslaskie;Kobieta;50;4:Malzenstwo +2;2053.7;2895.29;3;1
5372;207830121;Dolnoslaskie;Kobieta;21;4:Malzenstwo +2;2053.7;2895.29;4;1
5426;213280121;Zachodniopomorskie;Mezczyzna;47;3:Malzenstwo +1;2358.52;1927.03;4;3
5457;213280921;Zachodniopomorskie;Kobieta;59;2:Malzenstwo bez dzieci;3185;2187.16;1;3
5489;213290711;Zachodniopomorskie;Kobieta;35;9:Pozostale;5195.15;4982.84;5;4
5508;213300111;Zachodniopomorskie;Mezczyzna;22;9:Pozostale;3586.04;3232.94;4;4
5521;213300421;Zachodniopomorskie;Mezczyzna;56;2:Malzenstwo bez dzieci;1833;1587.07;5;4
5522;213300511;Zachodniopomorskie;Kobieta;57;1:Osoba samotna;1403.75;1376.08;3;4
5580;213310921;Zachodniopomorskie;Kobieta;54;1:Osoba samotna;1827.5;1614.5;4;4
5592;213320111;Zachodniopomorskie;Kobieta;31;9:Pozostale;9610;5609.55;1;4
5602;213320511;Zachodniopomorskie;Mezczyzna;27;3:Malzenstwo +1;3790;2486.58;5;4
5608;213320621;Zachodniopomorskie;Mezczyzna;87;9:Pozostale;13844.5;2864.8;4;4
5611;213320721;Zachodniopomorskie;Kobieta;50;2:Malzenstwo bez dzieci;4174;1445.89;7;4
5669;213331111;Zachodniopomorskie;Kobieta;47;3:Malzenstwo +1;3906.02;3830.78;2;4
5675;213340121;Zachodniopomorskie;Kobieta;56;2:Malzenstwo bez dzieci;2140;844.18;5;4
5716;213350221;Zachodniopomorskie;Mezczyzna;57;9:Pozostale;3598;2453.59;5;5
